Estimates of Monthly Retail and Food Services Sales by Kind of Business: 1998,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 1998,Feb. 1998,Mar. 1998,Apr. 1998,May 1998,Jun. 1998,Jul. 1998,Aug. 1998,Sep. 1998,Oct. 1998,Nov. 1998,Dec. 1998,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","207,853","203,863","230,313","234,503","245,027","244,067","241,431","240,462","231,243","244,234","240,991","288,969","2,852,956",,
,Retail sales and food services excl motor vehicle and parts,"158,132","153,119","170,482","174,475","182,817","179,213","181,661","182,720","174,613","184,751","188,435","234,123","2,164,541",,
,Retail sales and food services excl gasoline stations,"192,618","189,800","214,955","218,816","228,247","227,337","224,137","223,644","215,384","227,824","225,618","272,849","2,661,229",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"142,897","139,056","155,124","158,788","166,037","162,483","164,367","165,902","158,754","168,341","173,062","218,003","1,972,814",,
,"Retail sales, total","187,445","183,767","207,973","212,262","221,155","220,867","217,687","216,605","208,915","220,499","218,969","265,618","2,581,762",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","137,724","133,023","148,142","152,234","158,945","156,013","157,917","158,863","152,285","161,016","166,413","210,772","1,893,347",,
,GAFO(1),"50,777","50,744","56,790","58,363","61,136","59,553","59,602","63,575","58,678","62,784","71,608","104,326","757,936",,
441,Motor vehicle and parts dealers,"49,721","50,744","59,831","60,028","62,210","64,854","59,770","57,742","56,630","59,483","52,556","54,846","688,415",,
"4411,4412",Automobile and other motor vehicle dealers,"45,243","46,390","54,803","54,934","57,069","59,574","54,406","52,517","51,555","54,167","47,787","49,971","628,416",,
4411,Automobile dealers,"43,371","44,090","51,772","51,484","53,328","55,940","50,755","49,441","48,698","51,277","45,679","47,666","593,501",,
44111,New car dealers,"39,690","39,936","47,249","47,084","48,972","51,217","46,220","44,965","44,560","46,742","41,949","43,975","542,559",,
44112,Used car dealers,"3,681","4,154","4,523","4,400","4,356","4,723","4,535","4,476","4,138","4,535","3,730","3,691","50,942",,
4413,"Automotive parts, acc., and tire stores","4,478","4,354","5,028","5,094","5,141","5,280","5,364","5,225","5,075","5,316","4,769","4,875","59,999",,
"442,443","Furniture, home furn, electronics, and appliance stores","12,293","11,583","12,577","11,985","12,439","12,788","13,127","13,429","12,789","13,161","14,613","19,359","160,143",,
442,Furniture and home furnishings stores,"5,822","5,581","6,162","6,038","6,225","6,310","6,466","6,502","6,329","6,693","7,186","8,098","77,412",,
4421,Furniture stores,"3,569","3,375","3,657","3,468","3,622","3,606","3,660","3,673","3,603","3,734","3,975","4,168","44,110",,
4422,Home furnishings stores,"2,253","2,206","2,505","2,570","2,603","2,704","2,806","2,829","2,726","2,959","3,211","3,930","33,302",,
44221,Floor covering stores,"1,153","1,178","1,358","1,413","1,367","1,465","1,458","1,479","1,498","1,578","1,496","1,518","16,961",,
442299,All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
443,Electronics and appliance stores,"6,471","6,002","6,415","5,947","6,214","6,478","6,661","6,927","6,460","6,468","7,427","11,261","82,731",,
443141,Household appliance stores,830,769,853,839,921,999,"1,043",962,889,932,947,"1,115","11,099",,
443142,Electronics stores,"5,641","5,233","5,562","5,108","5,293","5,479","5,618","5,965","5,571","5,536","6,480","10,146","71,632",,
444,Building mat. and garden equip. and supplies dealers,"13,303","13,298","16,065","18,342","19,145","19,008","18,249","17,036","17,301","17,934","16,167","16,575","202,423",,
4441,Building mat. and supplies dealers,"11,400","11,326","13,453","14,815","15,323","16,078","15,875","15,048","15,191","15,676","14,025","13,991","172,201",,
44412,Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
44413,Hardware stores,972,900,"1,104","1,321","1,421","1,422","1,352","1,307","1,292","1,296","1,221","1,357","14,965",,
445,Food and beverage stores,"33,440","30,661","33,392","33,926","35,722","34,351","36,390","35,388","34,037","35,421","34,557","39,240","416,525",,
4451,Grocery stores,"30,679","27,947","30,501","30,826","32,456","31,215","33,067","32,220","31,005","32,214","31,377","34,681","378,188",,
44511,Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4453,"Beer, wine, and liquor stores","1,846","1,768","1,894","1,963","2,140","2,059","2,209","2,118","2,031","2,163","2,154","3,037","25,382",,
446,Health and personal care stores,"10,185","9,761","10,445","10,609","10,730","10,651","10,763","10,755","10,458","10,995","10,805","13,426","129,583",,
44611,Pharmacies and drug stores,"8,526","8,185","8,711","8,854","8,969","8,785","8,897","8,884","8,730","9,231","9,144","11,499","108,415",,
447,Gasoline stations,"15,235","14,063","15,358","15,687","16,780","16,730","17,294","16,818","15,859","16,410","15,373","16,120","191,727",,
448,Clothing and clothing access. stores,"8,800","9,499","10,863","11,825","12,239","11,451","11,633","12,971","11,214","12,384","13,854","22,418","149,151",,
4481,Clothing stores,"6,224","6,366","7,736","8,414","8,436","7,983","8,211","9,128","8,040","8,993","10,031","14,566","104,128",,
44811,Men's clothing stores,716,644,735,844,836,817,757,844,754,865,955,"1,429","10,196",,
44812,Women's clothing stores,"1,722","1,767","2,194","2,507","2,512","2,254","2,222","2,327","2,244","2,422","2,531","3,630","28,332",,
44814,Family clothing stores,"2,769","2,875","3,563","3,821","3,896","3,788","4,054","4,534","3,793","4,433","5,181","7,447","50,154",,
44819,Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),,,
4482,Shoe stores,"1,360","1,518","1,774","1,936","1,929","1,819","1,877","2,265","1,704","1,799","1,800","2,457","22,238",,
44831,Jewelry stores,"1,110","1,502","1,228","1,352","1,742","1,515","1,405","1,455","1,362","1,495","1,909","5,196","21,271",,
451,"Sporting goods, hobby, musical instrument, and book stores","4,413","3,896","4,422","4,452","4,557","4,783","4,584","5,158","4,800","4,669","5,424","9,283","60,441",,
45111,Sporting goods stores,"1,381","1,407","1,754","1,820","1,938","2,120","1,975","2,038","1,701","1,607","1,685","2,858","22,284",,
45112,"Hobby, toy, and game stores",858,883,987,"1,022",986,"1,016","1,042","1,025","1,005","1,197","2,011","3,801","15,833",,
451211,Book stores,"1,463",921,882,854,919,939,881,"1,385","1,246",953,990,"1,849","13,282",,
452,General merchandise stores,"22,487","23,020","26,112","27,434","29,179","27,795","27,392","29,007","26,687","29,357","34,377","48,234","351,081",,
4521,Department stores,"13,887","14,640","16,616","17,544","18,581","17,234","16,908","18,362","16,467","18,211","22,164","32,676","223,290",,
452111,Department stores(excl. discount department stores),"5,474","6,070","6,982","7,221","7,619","6,911","6,837","7,777","6,894","7,654","9,592","15,277","94,308",,
452112,Discount dept. stores,"8,413","8,570","9,634","10,323","10,962","10,323","10,071","10,585","9,573","10,557","12,572","17,399","128,982",,
4529,Other general merchandise stores,"8,600",8380,9496,"9,890","10,598","10,561","10,484","10,645","10,220","11,146","12,213","15,558","127,791",,
45291,Warehouse clubs and superstores,"6,661","6,396","7,275","7,582","8,167","8,178","8,118","8,286","7,964","8,639","9,436","11,791","98,493",,
45299,All other gen. merchandise stores,"1,939","1,984","2,221","2,308","2,431","2,383","2,366","2,359","2,256","2,507","2,777","3,767","29,298",,
453,Miscellaneous store retailers,"7,098","7,272","7,582","7,583","8,054","8,239","8,221","8,257","8,256","8,358","8,253","11,196","98,369",,
4532,"Office supplies, stationery, and gift stores","2,784","2,746","2,816","2,667","2,722","2,736","2,866","3,010","3,188","3,213","3,340","5,032","37,120",,
45321,Office supplies and stationery stores,"1,730","1,516","1,584","1,412","1,392","1,421","1,512","1,675","1,866","1,760","1,663","1,991","19,522",,
45322,"Gift, novelty, and souvenir stores","1,054","1,230","1,232","1,255","1,330","1,315","1,354","1,335","1,322","1,453","1,677","3,041","17,598",,
45330,Used merchandise stores,633,710,725,665,673,698,782,762,770,844,795,966,"9,023",,
454,Nonstore retailers,"10,470","9,970","11,326","10,391","10,100","10,217","10,264","10,044","10,884","12,327","12,990","14,921","133,904",,
4541,Electronic shopping and mail-order houses,"5,794","5,455","6,528","6,096","6,111","5,977","6,115","6,056","6,711","7,483","8,156","9,815","80,297",,
45431,Fuel dealers,"2,324","1,996","1,984","1,515","1,285","1,209","1,177","1,140","1,269","1,483","1,585","1,958","18,925",,
722,Food services and drinking places,"20,408","20,096","22,340","22,241","23,872","23,200","23,744","23,857","22,328","23,735","22,022","23,351","271,194",,
7224,Drinking places,"1,108","1,089","1,199","1,126","1,177","1,154","1,232","1,205","1,143","1,227","1,117","1,180","13,957",,
7225,Restaurants and other eating places,"17,721","17,401","19,356","19,328","20,728","20,073","20,643","20,754","19,286","20,475","19,022","20,153","234,940",,
722511,Full service restaurants,"9,109","9,073","9,926","9,778","10,371","10,150","10,402","10,484","9,792","10,399","9,664","10,284","119,432",,
"722513, 722514, 722515",Limited service eating places,"8,612","8,328","9,430","9,550","10,357","9,923","10,241","10,270","9,494","10,076","9,358","9,869","115,508",,
,ADJUSTED(2),,,,,,,,,,,,,,,
,"Retail and food services sales, total","231,587","231,684","233,083","235,986","237,075","238,971","237,411","236,379","238,550","242,549","244,291","246,530",,,
,Retail sales and food services excl motor vehicle and parts,"176,093","176,843","176,948","178,522","179,193","179,707","181,091","181,382","181,354","183,255","184,474","186,057",,,
,Retail sales and food services excl gasoline stations,"215,362","215,630","217,380","220,188","221,018","223,038","221,324","220,528","222,738","226,601","228,277","230,131",,,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"159,868","160,789","161,245","162,724","163,136","163,774","165,004","165,531","165,542","167,307","168,460","169,658",,,
,"Retail sales, total","209,666","209,552","210,832","213,633","214,639","216,337","214,841","213,636","215,720","219,483","221,134","223,179",,,
,"Retail sales, total (excl. motor vehicle and parts dealers)","154,172","154,711","154,697","156,169","156,757","157,073","158,521","158,639","158,524","160,189","161,317","162,706",,,
,GAFO(1),"61,496","62,067","62,056","62,741","62,557","63,119","63,221","63,401","63,429","64,088","64,809","64,865",,,
441,Motor vehicle and parts dealers,"55,494","54,841","56,135","57,464","57,882","59,264","56,320","54,997","57,196","59,294","59,817","60,473",,,
"4411,4412",Automobile and other motor vehicle dealers,"50,551","49,882","51,122","52,518","52,842","54,306","51,326","50,016","52,181","54,221","54,802","55,400",,,
4413,"Automotive parts, acc., and tire stores","4,943","4,959","5,013","4,946","5,040","4,958","4,994","4,981","5,015","5,073","5,015","5,073",,,
"442,443","Furniture, home furn, electronics, and appliance stores","13,153","13,139","13,128","13,135","13,188","13,347","13,407","13,491","13,373","13,444","13,666","13,651",,,
442,Furniture and home furnishings stores,"6,377","6,342","6,340","6,369","6,359","6,426","6,447","6,444","6,419","6,504","6,666","6,687",,,
443,Electronics and appliance stores,"6,776","6,797","6,788","6,766","6,829","6,921","6,960","7,047","6,954","6,940","7,000","6,964",,,
444,Building mat. and garden equip. and supplies dealers,"16,436","16,462","16,511","16,716","16,741","16,662","16,819","16,828","16,972","17,209","17,341","17,702",,,
4441,Building mat. and supplies dealers,"13,902","13,931","13,970","14,123","14,162","14,241","14,406","14,441","14,495","14,692","14,748","15,060",,,
445,Food and beverage stores,"34,126","34,102","34,275","34,374","34,534","34,592","34,856","34,950","34,916","35,093","35,140","35,533",,,
4451,Grocery stores,"30,989","30,915","31,123","31,169","31,358","31,435","31,673","31,744","31,702","31,864","31,920","32,291",,,
4453,"Beer, wine and liquor stores","2,072","2,112","2,074","2,095","2,092","2,076","2,094","2,135","2,133","2,137","2,152","2,169",,,
446,Health and personal care stores,"10,382","10,406","10,393","10,620","10,645","10,672","10,828","11,019","10,985","11,106","11,232","11,311",,,
44611,Pharmacies and drug stores,"8,647","8,661","8,702","8,836","8,942","8,910","9,042","9,187","9,180","9,305","9,437","9,583",,,
447,Gasoline stations,"16,225","16,054","15,703","15,798","16,057","15,933","16,087","15,851","15,812","15,948","16,014","16,399",,,
448,Clothing and clothing access. stores,"12,154","12,199","12,164","12,459","12,304","12,447","12,559","12,460","12,180","12,540","12,736","12,746",,,
4481,Clothing stores,"8,462","8,482","8,475","8,737","8,596","8,681","8,797","8,713","8,534","8,768","8,928","8,878",,,
44811,Men's clothing stores,853,852,864,887,856,861,853,853,836,842,838,833,,,
44812,Women's clothing stores,"2,372","2,307","2,288","2,429","2,350","2,350","2,407","2,360","2,328","2,375","2,404","2,410",,,
4482,Shoe stores,"1,823","1,869","1,852","1,839","1,827","1,841","1,875","1,849","1,805","1,894","1,887","1,897",,,
44831,Jewelry stores,"1,734","1,711","1,696","1,736","1,740","1,776","1,732","1,770","1,724","1,776","1,818","1,868",,,
451,"Sporting goods, hobby, musical instrument, and book stores","4,834","5,027","5,008","5,036","4,986","5,083","5,032","5,057","5,047","5,108","5,093","5,154",,,
452,General merchandise stores,"28,402","28,748","28,714","29,123","29,076","29,170","29,113","29,274","29,559","29,720","30,094","30,129",,,
4521,Department stores,"18,474","18,698","18,529","18,649","18,653","18,553","18,489","18,548","18,589","18,692","18,805","18,855",,,
4529,Other general merchandise stores,"9,928","10,050","10,185","10,474","10,423","10,617","10,624","10,726","10,970","11,028","11,289","11,274",,,
45291,Warehouse clubs and superstores,"7,510","7,642","7,797","8,032","7,999","8,178","8,200","8,294","8,536","8,553","8,778","8,799",,,
45299,All other gen. merchandise stores,"2,418","2,408","2,388","2,442","2,424","2,439","2,424","2,432","2,434","2,475","2,511","2,475",,,
453,Miscellaneous stores retailers,"8,070","7,948","7,957","7,916","8,037","8,064","8,240","8,334","8,378","8,444","8,448","8,622",,,
454,Nonstore retailers,"10,390","10,626","10,844","10,992","11,189","11,103","11,580","11,375","11,302","11,577","11,553","11,459",,,
4541,Electronic shopping and mail order houses,"6,217","6,388","6,463","6,562","6,752","6,386","6,817","6,812","6,841","6,987","7,019","6,991",,,
45431,Fuel dealers,"1,515","1,544","1,683","1,658","1,652","1,686","1,670","1,599","1,571","1,540","1,551","1,441",,,
722,Food services and drinking places,"21,921","22,132","22,251","22,353","22,436","22,634","22,570","22,743","22,830","23,066","23,157","23,351",,,
,,,,,,,,,,,,,,,,
(NA) Not advailable,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,,
